iter	Passed	Remaining
455	896	1069
456	898	1067
457	900	1065
458	901	1062
459	902	1059
460	907	1060
461	909	1059
462	911	1057
463	912	1054
464	914	1051
465	915	1049
466	916	1046
467	918	1043
468	923	1045
469	924	1042
470	926	1040
471	927	1037
472	929	1035
473	930	1032
474	931	1029
475	936	1030
476	940	1031
477	943	1029
478	945	1028
479	947	1026
480	955	1031
481	957	1029
482	963	1030
483	969	1033
484	970	1031
485	972	1028
486	974	1026
487	977	1025
488	983	1027
489	985	1025
490	986	1022
491	988	1020
492	991	1019
493	993	1017
494	998	1018
495	1000	1016
496	1002	1014
497	1004	1012
498	1006	1010
499	1007	1007
500	1011	1007
501	1014	1006
502	1016	1004
503	1018	1002
504	1020	1000
505	1022	997
506	1023	995
507	1029	997
508	1033	997
509	1036	995
510	1038	994
511	1047	998
512	1050	997
513	1052	995
514	1054	993
515	1060	994
516	1063	993
517	1065	991
518	1066	988
519	1073	991
520	1079	992
521	1082	991
522	1084	989
523	1091	991
524	1093	989
525	1095	987
526	1097	984
527	1099	982
528	1104	983
529	1106	981
530	1108	979
531	1110	977
532	1121	982
533	1125	982
534	1128	980
535	1135	983
536	1138	981
537	1140	979
538	1142	977
539	1144	974
540	1146	972
541	1147	969
542	1149	967
543	1151	965
544	1153	963
545	1156	961
546	1161	962
547	1163	959
548	1164	956
549	1167	955
550	1169	953
551	1177	955
552	1180	953
553	1181	951
554	1184	949
555	1186	947
556	1192	948
557	1194	946
558	1196	944
559	1198	941
560	1200	939
561	1201	936
562	1205	935
563	1206	932
564	1208	930
565	1209	927
566	1211	925
567	1214	924
568	1220	924
569	1223	923
570	1226	921
571	1229	920
572	1234	919
573	1237	918
574	1243	918
575	1244	916
576	1250	916
577	1252	914
578	1255	912
579	1256	910
580	1257	907
581	1258	904
582	1259	901
583	1264	900
584	1265	897
585	1266	894
586	1267	891
587	1269	889
588	1271	887
589	1273	884
590	1274	881
591	1278	880
592	1281	879
593	1283	877
594	1284	874
595	1285	871
596	1286	868
597	1287	865
598	1288	862
599	1293	862
600	1294	859
601	1296	856
602	1297	854
603	1298	851
604	1299	848
605	1300	845
606	1301	842
607	1302	839
608	1304	837
609	1308	836
610	1310	834
611	1311	831
612	1312	828
613	1313	825
614	1315	823
615	1316	820
616	1317	817
617	1320	816
618	1322	814
619	1324	811
620	1325	808
621	1326	806
622	1327	803
623	1328	800
624	1329	797
625	1330	795
626	1332	792
627	1336	791
628	1337	788
629	1338	786
630	1340	783
631	1341	780
632	1342	778
633	1343	775
634	1344	773
635	1345	770
636	1351	770
637	1352	767
638	1353	764
639	1354	761
640	1355	759
641	1356	756
642	1358	754
643	1359	751
644	1360	748
645	1363	747
646	1365	744
647	1366	742
648	1367	739
649	1369	737
650	1370	734
651	1371	731
652	1372	729
653	1373	726
654	1378	726
655	1380	723
656	1381	721
657	1383	718
658	1384	716
659	1385	713
660	1386	711
661	1387	708
662	1392	707
663	1393	705
664	1394	702
665	1396	700
666	1397	697
667	1398	694
668	1399	692
669	1400	689
670	1402	687
671	1405	685
672	1406	683
673	1408	681
674	1409	678
675	1410	676
676	1411	673
677	1412	671
678	1414	668
679	1416	666
680	1418	664
681	1419	661
682	1420	659
683	1421	656
684	1422	654
685	1423	651
686	1425	649
687	1431	649
688	1432	646
689	1433	644
690	1435	641
691	1436	639
692	1437	636
693	1439	634
694	1440	632
695	1443	630
696	1446	628
697	1447	626
698	1449	624
699	1450	621
700	1451	619
701	1452	616
702	1453	614
703	1454	611
704	1459	610
705	1464	609
706	1465	607
707	1466	604
708	1467	602
709	1468	599
710	1470	597
711	1474	596
712	1475	593
713	1476	591
714	1478	589
715	1479	586
716	1480	584
717	1481	581
718	1482	579
719	1484	577
720	1488	575
721	1489	573
722	1493	572
723	1495	569
724	1496	567
725	1497	565
726	1503	564
727	1504	562
728	1506	559
729	1507	557
730	1508	555
731	1509	552
732	1510	550
733	1511	547
734	1516	546
735	1517	544
736	1518	541
737	1520	539
738	1521	537
739	1523	535
740	1524	532
741	1525	530
742	1529	528
743	1532	527
744	1533	525
745	1534	522
746	1535	520
747	1536	517
748	1537	515
749	1539	513
750	1540	510
751	1546	509
752	1547	507
753	1548	505
754	1549	502
755	1550	500
756	1551	498
757	1552	495
758	1553	493
759	1554	490
760	1559	489
761	1560	487
762	1561	485
763	1562	482
764	1564	480
765	1565	478
766	1566	475
767	1567	473
768	1568	471
769	1573	470
770	1575	467
771	1576	465
772	1577	463
773	1578	460
774	1579	458
775	1580	456
776	1581	454
777	1583	451
778	1588	450
779	1589	448
780	1591	446
781	1592	443
782	1593	441
783	1594	439
784	1596	437
785	1597	434
786	1599	433
787	1601	430
788	1602	428
789	1603	426
790	1604	423
791	1605	421
792	1606	419
793	1613	418
794	1614	416
795	1616	414
796	1617	412
797	1619	409
798	1620	407
799	1621	405
800	1623	403
801	1628	401
802	1629	399
803	1630	397
804	1631	395
805	1632	393
806	1634	390
807	1635	388
808	1636	386
809	1641	385
810	1642	382
811	1643	380
812	1644	378
813	1646	376
814	1647	373
815	1648	371
816	1649	369
817	1650	367
818	1655	365
819	1656	363
820	1657	361
821	1658	359
822	1660	357
823	1661	354
824	1662	352
825	1663	350
826	1664	348
827	1668	346
828	1670	344
829	1671	342
830	1672	340
831	1674	338
832	1675	335
833	1676	333
834	1677	331
835	1678	329
